rise,run,hypotenuse
2.0,2.6,3.2802438933713454
2.0,4.1,4.561797891182818
2.0,4.2,4.651881339845203
2.0,5.9,6.229767250869008
2.0,6.6,6.896375859826667
2.0,8.9,9.121951545584968
2.0,9.9,10.1
2.1,2.3,3.1144823004794873
2.1,2.5,3.2649655434629015
2.1,2.6,3.342154993413681
2.1,2.8,3.5
2.1,4.0,4.517742799230607
2.1,4.1,4.606517122512408
2.1,4.4,4.8754486972995625
2.1,5.3,5.70087712549569
2.1,5.4,5.79396237474839
2.1,6.2,6.545991139621258
2.1,6.5,6.830812543175226
2.1,7.1,7.404052944165107
2.1,7.9,8.174350127074323
2.1,8.1,8.367795408588812
2.1,8.7,8.949860334105777
2.1,9.0,9.241753080449618
2.2,2.7,3.4828149534536
2.2,3.1,3.801315561749643
2.2,3.5,4.1340053217188775
2.2,3.8,4.39089968002003
2.2,5.6,6.016643582596529
2.2,9.5,9.751410154434076
2.3,2.1,3.1144823004794873
2.3,2.9,3.7013511046643495
2.3,3.0,3.7802116342871597
2.3,3.6,4.272001872658765
2.3,4.3,4.876474136094643
2.3,6.8,7.178439941937245
2.3,8.2,8.516454661418683
2.4,2.5,3.4655446902326914
2.4,3.0,3.8418745424597094
2.4,5.3,5.818075283115543
2.4,5.9,6.369458375717672
2.4,7.3,7.684399781375251
2.4,8.8,9.121403400793104
2.5,2.1,3.2649655434629015
2.5,2.4,3.4655446902326914
2.5,2.5,3.5355339059327378
2.5,2.6,3.606937759374287
2.5,3.1,3.9824615503479754
2.5,3.4,4.220189569201838
2.5,4.9,5.500909015790027
2.5,5.5,6.041522986797286
2.5,6.5,6.96419413859206
2.5,7.4,7.810889834071404
2.6,2.0,3.2802438933713454
2.6,2.1,3.342154993413681
2.6,2.5,3.606937759374287
2.6,2.8,3.82099463490856
2.6,2.9,3.8948684188300895
2.6,4.8,5.458937625582473
2.6,5.1,5.724508712544684
2.6,5.6,6.174139616173252
2.6,6.5,7.000714249274855
2.6,7.1,7.561084578286372
2.6,7.7,8.127115109311545
2.6,7.8,8.221921916437786
2.6,7.9,8.3168503653727
2.6,9.4,9.752948272189288
2.7,2.2,3.4828149534536
2.7,3.1,4.110960958218893
2.7,4.0,4.825971404805461
2.7,4.1,4.909175083453431
2.7,5.1,5.770615218501403
2.7,5.8,6.397655820689325
2.7,8.3,8.728115489611719
2.7,9.3,9.684007434941385
2.8,2.1,3.5
2.8,2.6,3.82099463490856
2.8,3.4,4.404543109109048
2.8,3.6,4.560701700396552
2.8,5.1,5.818075283115542
2.8,7.2,7.725283166331186
2.8,8.1,8.570297544426332
2.8,8.5,8.94930164873215
2.8,9.0,9.425497334358543
2.9,2.3,3.7013511046643495
2.9,2.6,3.8948684188300895
2.9,4.2,5.103920062069938
2.9,4.6,5.437830449729009
2.9,4.7,5.522680508593631
2.9,5.1,5.866856057549052
2.9,5.3,6.041522986797286
2.9,7.3,7.854934754662192
2.9,7.9,8.415461959987699
2.9,9.6,10.028459502834918
3.0,2.3,3.7802116342871597
3.0,2.4,3.8418745424597094
3.0,3.3,4.459820624195552
3.0,3.8,4.841487374764082
3.0,5.1,5.9169248769948055
3.0,6.1,6.797793759742936
3.0,6.6,7.249827584156743
3.1,2.2,3.801315561749643
3.1,2.5,3.9824615503479754
3.1,2.7,4.110960958218893
3.1,5.8,6.576473218982953
3.1,6.2,6.931810730249349
3.2,3.7,4.8918299234540035
3.2,4.0,5.122499389946279
3.2,8.8,9.3637599285757
3.3,3.0,4.459820624195552
3.3,3.3,4.666904755831213
3.3,5.0,5.990826320300064
3.3,6.5,7.2897187874430385
3.3,9.7,10.24597481941079
3.4,2.5,4.220189569201838
3.4,2.8,4.404543109109048
3.4,6.0,6.896375859826668
3.4,6.2,7.0710678118654755
3.4,6.8,7.602631123499285
3.4,7.7,8.417244204607586
3.5,2.2,4.1340053217188775
3.5,4.0,5.315072906367325
3.5,4.3,5.544366510251645
3.5,4.5,5.70087712549569
3.5,4.8,5.940538696111658
3.5,7.6,8.367197858303578
3.5,9.1,9.749871794028882
3.6,2.3,4.272001872658765
3.6,2.8,4.560701700396552
3.7,3.2,4.8918299234540035
3.7,3.9,5.375872022286245
3.7,4.1,5.522680508593631
3.7,5.4,6.545991139621258
3.7,5.9,6.96419413859206
3.7,9.8,10.475208828467336
3.8,2.2,4.39089968002003
3.8,3.0,4.841487374764082
3.8,4.6,5.966573556070519
3.8,4.8,6.1220911460055865
3.8,4.9,6.2008063991709985
3.8,6.4,7.443117626371358
3.8,7.4,8.318653737234168
3.9,3.7,5.375872022286245
3.9,5.0,6.341135544995076
4.0,2.1,4.517742799230607
4.0,2.7,4.825971404805461
4.0,3.2,5.122499389946279
4.0,3.5,5.315072906367325
4.0,8.2,9.123595782365635
4.0,8.4,9.303762679690406
4.1,2.0,4.561797891182818
4.1,2.1,4.606517122512408
4.1,2.7,4.909175083453431
4.1,3.7,5.522680508593631
4.1,4.3,5.941380311005179
4.1,4.8,6.312685640834651
4.1,5.3,6.700746227100382
4.1,6.4,7.600657866263947
4.1,6.5,7.6850504227363405
4.1,6.6,7.769813382572325
4.1,6.7,7.854934754662192
4.1,8.7,9.617692030835672
4.2,2.0,4.651881339845203
4.2,2.9,5.103920062069938
4.2,4.6,6.2289646009589745
4.2,5.1,6.606814663663572
4.2,5.6,7.0
4.2,8.3,9.302150289046077
4.2,8.8,9.750897394599125
4.3,2.3,4.876474136094643
4.3,3.5,5.544366510251645
4.3,4.1,5.941380311005179
4.3,4.7,6.370243323453194
4.3,5.7,7.1400280111495364
4.3,9.3,10.245974819410792
4.3,9.9,10.793516572461451
4.4,2.1,4.8754486972995625
4.4,5.4,6.9656299069072
4.4,6.1,7.521303078589507
4.4,6.2,7.602631123499286
4.4,6.3,7.684399781375251
4.4,7.0,8.268010643437755
4.4,7.6,8.78179936004006
4.5,3.5,5.70087712549569
4.5,5.5,7.106335201775948
4.5,6.6,7.988116173416608
4.5,7.8,9.004998611882181
4.5,8.5,9.617692030835672
4.5,9.9,10.874741376235114
4.6,2.9,5.437830449729009
4.6,3.8,5.966573556070519
4.6,4.2,6.2289646009589745
4.6,4.7,6.576473218982953
4.6,5.8,7.402702209328699
4.6,5.9,7.481310045707236
4.6,6.0,7.560423268574319
4.6,6.7,8.127115109311545
4.6,8.3,9.489467845985885
4.6,8.6,9.752948272189286
4.7,2.9,5.522680508593631
4.7,4.3,6.370243323453194
4.7,4.6,6.576473218982953
4.7,8.1,9.364827814754525
4.7,8.7,9.888377015466187
4.8,2.6,5.458937625582473
4.8,3.5,5.940538696111658
4.8,3.8,6.1220911460055865
4.8,4.1,6.312685640834651
4.8,5.0,6.931089380465383
4.8,6.0,7.683749084919419
4.8,6.5,8.080222769206305
4.8,7.1,8.57029754442633
4.9,2.5,5.500909015790027
4.9,3.8,6.2008063991709985
4.9,5.0,7.000714249274855
4.9,5.6,7.441102068914255
4.9,6.6,8.22009732302483
4.9,8.2,9.5524865872714
4.9,9.0,10.247438704378768
4.9,9.9,11.046266337545914
5.0,3.3,5.990826320300064
5.0,3.9,6.341135544995076
5.0,4.8,6.931089380465383
5.0,4.9,7.000714249274855
5.0,5.0,7.0710678118654755
5.0,5.1,7.142128534267638
5.0,5.2,7.213875518748574
5.0,7.7,9.180958555619343
5.1,2.6,5.724508712544684
5.1,2.7,5.770615218501403
5.1,2.8,5.818075283115542
5.1,2.9,5.866856057549052
5.1,3.0,5.9169248769948055
5.1,4.2,6.606814663663572
5.1,5.0,7.142128534267638
5.1,8.8,10.171037311896955
5.1,9.8,11.047624178980746
5.2,5.0,7.213875518748574
5.2,5.6,7.64198926981712
5.3,2.1,5.70087712549569
5.3,2.4,5.818075283115543
5.3,2.9,6.041522986797286
5.3,4.1,6.700746227100382
5.3,6.1,8.080841540334768
5.3,6.8,8.621484790916238
5.3,9.5,10.878419002777932
5.4,2.1,5.79396237474839
5.4,3.7,6.545991139621258
5.4,4.4,6.9656299069072
5.4,6.2,8.221921916437786
5.4,7.5,9.241753080449618
5.4,8.2,9.818350166906862
5.5,2.5,6.041522986797286
5.5,4.5,7.106335201775948
5.5,8.3,9.956907150315303
5.5,9.1,10.632967600815869
5.6,2.2,6.016643582596529
5.6,2.6,6.174139616173252
5.6,4.2,7.0
5.6,4.9,7.441102068914255
5.6,5.2,7.64198926981712
5.6,7.2,9.121403400793104
5.6,7.9,9.683491106000975
5.7,4.3,7.1400280111495364
5.7,6.4,8.570297544426332
5.7,6.9,8.949860334105779
5.7,7.2,9.183136719008381
5.8,2.7,6.397655820689325
5.8,3.1,6.576473218982953
5.8,4.6,7.402702209328699
5.8,6.1,8.417244204607586
5.8,9.2,10.875660899458017
5.8,9.3,10.960383204979651
5.8,9.4,11.045361017187261
5.9,2.0,6.229767250869008
5.9,2.4,6.369458375717672
5.9,3.7,6.96419413859206
5.9,4.6,7.481310045707236
6.0,3.4,6.896375859826668
6.0,4.6,7.560423268574319
6.0,4.8,7.683749084919419
6.0,7.6,9.682974749528164
6.1,3.0,6.797793759742936
6.1,4.4,7.521303078589507
6.1,5.3,8.080841540334768
6.1,5.8,8.417244204607586
6.2,2.1,6.545991139621258
6.2,3.1,6.931810730249349
6.2,3.4,7.0710678118654755
6.2,4.4,7.602631123499286
6.2,5.4,8.221921916437786
6.2,7.1,9.426027795418387
6.3,4.4,7.684399781375251
6.3,7.8,10.026464980241043
6.4,3.8,7.443117626371358
6.4,4.1,7.600657866263947
6.4,5.7,8.570297544426332
6.4,6.5,9.121951545584968
6.4,8.0,10.244998779892558
6.4,8.9,10.962207806824317
6.5,2.1,6.830812543175226
6.5,2.5,6.96419413859206
6.5,2.6,7.000714249274855
6.5,3.3,7.2897187874430385
6.5,4.1,7.6850504227363405
6.5,4.8,8.080222769206305
6.5,6.4,9.121951545584968
6.5,7.0,9.5524865872714
6.6,2.0,6.896375859826667
6.6,3.0,7.249827584156743
6.6,4.1,7.769813382572325
6.6,4.5,7.988116173416608
6.6,4.9,8.22009732302483
6.6,9.3,11.403946685248927
6.6,10.0,11.981652640600128
6.7,4.1,7.854934754662192
6.7,4.6,8.127115109311545
6.7,6.9,9.617692030835672
6.7,9.0,11.22007130102122
6.8,2.3,7.178439941937245
6.8,3.4,7.602631123499285
6.8,5.3,8.621484790916238
6.9,5.7,8.949860334105779
6.9,6.7,9.617692030835672
6.9,8.3,10.793516572461453
7.0,4.4,8.268010643437755
7.0,6.5,9.5524865872714
7.0,8.0,10.63014581273465
7.0,9.0,11.40175425099138
7.0,9.6,11.881077392223316
7.1,2.1,7.404052944165107
7.1,2.6,7.561084578286372
7.1,4.8,8.57029754442633
7.1,6.2,9.426027795418387
7.1,7.7,10.47377677822093
7.2,2.8,7.725283166331186
7.2,5.6,9.121403400793104
7.2,5.7,9.183136719008381
7.2,7.5,10.396634070698074
7.3,2.4,7.684399781375251
7.3,2.9,7.854934754662192
7.3,9.0,11.58835622510803
7.3,9.5,11.980818002123227
7.4,2.5,7.810889834071404
7.4,3.8,8.318653737234168
